0,1,2,3,4,5,6
"CL 34 B 1 E 111, PALMIRA, VALLE DEL CAUCA",3.5311863267726036,-76.27739839748129,9.0,3.5300871,-76.2894808,55000
"CL 34 B 10 15, PITALITO, HUILA",1.868640015306248,-76.03410000262508,9.0,,,55001
"CL 34 B 105 B 48, MEDELLÍN, ANTIOQUIA",6.245719757090204,-75.62106848247586,9.0,6.234634,-75.5699842,55002
"CL 34 B 11 BIS 39, RIOHACHA, LA GUAJIRA",11.528643970560902,-72.91173622909912,9.0,,,55003
"CL 34 B 12A 56, RIOHACHA, LA GUAJIRA",11.528560425447603,-72.91205375012754,9.0,,,55004
"CL 34 B 13 47, VILLAVICENCIO, META",4.13721998414826,-73.5907200321512,9.0,,,55005
"CL 34 B 29 B 04, CALI, VALLE DEL CAUCA",3.4265335866634197,-76.50887736155151,9.0,,,55006
"CL 34 B 3 33, IBAGUÉ, TOLIMA",4.431202332486723,-75.22202837829516,9.0,4.4515137,-75.1871868,55007
"CL 34 B 50 A 45, ITAGÜÍ, ANTIOQUIA",6.166461988148312,-75.62129307349866,9.0,,,55008
"CL 34 B 53 34, ITAGÜÍ, ANTIOQUIA",6.167895385631216,-75.62270571396559,9.0,,,55009
"CL 34 B 6E 31, PALMIRA, VALLE DEL CAUCA",3.5314550011099612,-76.31704501636189,9.0,,,55010
"CL 34 B KR 50A 45, ITAGÜÍ, ANTIOQUIA",6.17081499480215,-75.61295999475428,9.0,,,55011
"CL 34 B No 29 32, MEDELLÍN, ANTIOQUIA",6.231744502065292,-75.55788445075959,9.0,,,55012
"CL 34 B SUR 3 15, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.561620007530607,-74.09754002191943,9.0,,,55013
"CL 34 B SUR 3A 27, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.561639998369685,-74.0976499924891,9.0,,,55014
"CL 34 B SUR 91 38, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.643969985024995,-74.1678800313584,9.0,,,55015
"CL 34 BIS 12 71, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.615827487457494,-74.09747186850976,9.0,,,55016
"CL 34 BIS SUR 12 71, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.566989999528502,-74.10873003029671,9.0,4.6366841,-74.1613836,55017
"CL 34 BIS SUR 86 F 25, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.637510010338161,-74.16217002745819,9.0,,,55018
"CL 34 BIS SUR 86F 27, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.63753000117724,-74.16218000192296,9.0,,,55019
"CL 34 BIS SUR 94A 70, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.567794263798746,-74.10406457969157,9.0,,,55020
"CL 34 BIS SUR 95 A 70, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.649579992820307,-74.1714099860617,9.0,,,55021
"CL 34 BIS SUR 95A 50, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.648959983442424,-74.17084999111054,9.0,,,55022
"CL 34 BIS SUR 95A 50, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.648959983442424,-74.17084999111054,9.0,,,55023
"CL 34 BIS SUR 95A 70, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.649579992820307,-74.1714099860617,9.0,,,55024
"CL 34 C 1 19, SANTA MARTA, MAGDALENA",11.219109988873406,-74.19603501176277,9.0,11.2288726,-74.2116619,55025
"CL 34 C 11 A 56, RIOHACHA, LA GUAJIRA",11.528643970560902,-72.91173622909912,9.0,,,55026
"CL 34 C 40 30, SANTA MARTA, MAGDALENA",11.216949993379856,-74.1834499613305,9.0,11.2247363,-74.2040088,55027
"CL 34 C 81 54, SOLEDAD, ATLÁNTICO",10.898674953387195,-74.77794877018032,9.0,,,55028
"CL 34 C 87 A 41, MEDELLÍN, ANTIOQUIA",6.243669994288908,-75.61261000838718,9.0,,,55029
"CL 34 C 88 B 55, MEDELLÍN, ANTIOQUIA",6.2436399870755395,-75.61483003926223,9.0,6.2344058,-75.5705629,55030
