0,1,2,3,4,5,6
", ACACÍAS, META",3.9911600000000362,-73.76387999999997,1.0,3.9887317,-73.767432,0
", ANAPOIMA, CUNDINAMARCA",4.570230000000038,-74.52708999999999,2.0,4.5493011,-74.5359119,1
", ARMENIA, QUINDÍO",4.530200000000036,-75.68832999999995,1.0,4.536307,-75.6723751,2
", ARMENIA, QUINDÍO",4.530200000000036,-75.68832999999995,1.0,4.536307,-75.6723751,3
", BARRANQUILLA, ATLÁNTICO",10.982680000000073,-74.83018999999996,1.0,10.9938698,-74.7927177,4
", BARRANQUILLA, ATLÁNTICO",10.982680000000073,-74.83018999999996,1.0,10.9938698,-74.7927177,5
", BOGOTÁ, D.C., BOGOTÁ, D.C.",4.614960000000053,-74.06940999999995,1.0,4.6726535,-74.05818386640371,6
", BOGOTÁ, D.C., BOGOTÁ, D.C.",4.614960000000053,-74.06940999999995,1.0,4.6726535,-74.05818386640371,7
", BOJACÁ, CUNDINAMARCA",4.733630000000062,-74.34118999999998,2.0,4.68792135,-74.32500216127059,8
", BUCARAMANGA, SANTANDER",7.117110000000025,-73.12923999999998,1.0,7.1255169,-73.1182624,9
", BUCARAMANGA, SANTANDER",7.117110000000025,-73.12923999999998,1.0,7.1255169,-73.1182624,10
", CAJICÁ, CUNDINAMARCA",4.920590000000061,-74.02533999999997,4.0,4.9360114,-74.03211632810394,11
", CAJICÁ, CUNDINAMARCA",4.920590000000061,-74.02533999999997,4.0,4.9360114,-74.03211632810394,12
", CALARCÁ, QUINDÍO",4.5302200000000425,-75.64106999999996,1.0,4.5305516,-75.6406048,13
", CALI, VALLE DEL CAUCA",3.4340200000000323,-76.52644999999995,1.0,3.4520339,-76.5329352,14
", CARTAGENA DE INDIAS, BOLÍVAR",10.425050000000056,-75.53836999999999,1.0,10.4266746,-75.5443419,15
", CARTAGENA DE INDIAS, BOLÍVAR",10.425050000000056,-75.53836999999999,1.0,10.4266746,-75.5443419,16
", CARTAGO, VALLE DEL CAUCA",4.751330000000053,-75.91324999999995,1.0,4.7465494,-75.9121234,17
", CARTAGO, VALLE DEL CAUCA",4.751330000000053,-75.91324999999995,1.0,4.7465494,-75.9121234,18
", CHACHAGÜÍ, NARIÑO",1.3610500000000343,-77.28343999999998,1.0,1.3591286,-77.2826965,19
", CHOCONTÁ, CUNDINAMARCA",5.147140000000036,-73.68664999999999,1.0,5.1459409,-73.6839512,20
", CHÍA, CUNDINAMARCA",4.863150000000076,-74.05201999999997,3.0,4.869398800000001,-74.03646684902216,21
", CHÍA, CUNDINAMARCA",4.863150000000076,-74.05201999999997,3.0,4.869398800000001,-74.03646684902216,22
", COTA, CUNDINAMARCA",4.809310000000039,-74.10225999999994,3.0,4.8093624,-74.1015739,23
", DOSQUEBRADAS, RISARALDA",4.839160000000049,-75.66726999999997,1.0,4.8339551,-75.6713013,24
", DOSQUEBRADAS, RISARALDA",4.839160000000049,-75.66726999999997,1.0,4.8339551,-75.6713013,25
", DUITAMA, BOYACÁ",5.837600000000066,-73.02242999999999,1.0,5.8277055,-73.0338939,26
", EL COLEGIO, CUNDINAMARCA",4.58086000000003,-74.44327999999996,2.0,4.5809252,-74.4416222,27
", EL ROSAL, CUNDINAMARCA",4.852470000000039,-74.26152999999994,3.0,4.883793799999999,-74.23449618473829,28
", ESPINAL, TOLIMA",4.152470000000051,-74.88575999999995,1.0,4.1503044,-74.8845895,29
", FACATATIVÁ, CUNDINAMARCA",4.8093900000000644,-74.35443999999995,2.0,4.8097329,-74.3541284,30
", FLANDES, TOLIMA",4.282190000000071,-74.81476999999995,3.0,4.2864999,-74.813697,31
", FLORIDABLANCA, SANTANDER",7.067180000000064,-73.10010999999997,2.0,7.0625358,-73.0858228,32
", FRESNO, TOLIMA",5.154210000000035,-75.04079999999993,1.0,5.1516594,-75.0366354,33
", FUSAGASUGÁ, CUNDINAMARCA",4.326760000000036,-74.40867999999995,1.0,4.3369235,-74.3644854,34
", FÓMEQUE, CUNDINAMARCA",4.485910000000047,-73.89351999999997,1.0,4.4871667,-73.8933937,35
", GIRARDOT, CUNDINAMARCA",4.296790000000044,-74.80550999999997,2.0,4.306643,-74.8015665,36
", GIRARDOT, CUNDINAMARCA",4.296790000000044,-74.80550999999997,2.0,4.306643,-74.8015665,37
", GIRARDOT, CUNDINAMARCA",4.296790000000044,-74.80550999999997,2.0,4.306643,-74.8015665,38
", GIRÓN, SANTANDER",7.074680000000058,-73.17369999999994,1.0,7.0732333,-73.1689196,39
", IBAGUÉ, TOLIMA",4.4350200000000655,-75.21947999999998,1.0,4.43917,-75.2113267,40
", IBAGUÉ, TOLIMA",4.4350200000000655,-75.21947999999998,1.0,4.43917,-75.2113267,41
", IPIALES, NARIÑO",0.8274900000000684,-77.63546999999994,1.0,0.8282795,-77.6424344,42
", ITAGÜÍ, ANTIOQUIA",6.172880000000021,-75.61147999999997,5.0,6.1724352,-75.6093254,43
", JAMUNDÍ, VALLE DEL CAUCA",3.2620900000000574,-76.54108999999994,1.0,3.2618357,-76.5407975,44
", LA CALERA, CUNDINAMARCA",4.721750000000043,-73.96788999999995,1.0,4.7201219,-73.9689086,45
