0,1,2,3,4,5,6
"CL 15A 6A 61, LA VICTORIA, VALLE DEL CAUCA",4.523550000000057,-76.03787999999997,1,4.5279673,-76.0348702,39000
"CL 15A 7 165, CALI, VALLE DEL CAUCA",3.4348684673934704,-76.52542091596453,9,3.3601181,-76.5348525,39001
"CL 15A 79 , MADRID, CUNDINAMARCA",4.728701303465223,-74.25333784992866,9,4.7284665,-74.257748,39002
"CL 15A 79 153, MEDELLÍN, ANTIOQUIA",6.221979739752355,-75.6029684128461,9,6.2222264,-75.5989835,39003
"CL 15A 79 366, MEDELLÍN, ANTIOQUIA",6.221983930500795,-75.60311456781224,9,6.2222264,-75.5989835,39004
"CL 15A 79 397, MEDELLÍN, ANTIOQUIA",6.221989992178038,-75.60285003651066,9,,,39005
"CL 15A 8 26, TUNJA, BOYACÁ",5.527323184943119,-73.36184350369773,9,5.5291666,-73.3699199,39006
"CL 15A 8 30, MADRID, CUNDINAMARCA",4.728701303465223,-74.25333784992866,9,,,39007
"CL 15A 8 91, SOGAMOSO, BOYACÁ",5.725909148511266,-72.93762114473897,9,5.7258025,-72.9375887,39008
"CL 15A 9 129, MADRID, CUNDINAMARCA",4.728701303465223,-74.25333784992866,9,,,39009
"CL 15A 9 129, MADRID, CUNDINAMARCA",4.728701303465223,-74.25333784992866,9,,,39010
"CL 15A 9 129, MOSQUERA, CUNDINAMARCA",4.718635190550751,-74.22608488443558,9,4.6936757,-74.1729333,39011
"CL 15A 9 38, BARBOSA, SANTANDER",5.933392315762539,-73.61152979832028,9,5.935592,-73.6137991,39012
"CL 15A 9 67, AGUAZUL, CASANARE",5.170050441424484,-72.54305210780211,9,5.179292,-72.5518884,39013
"CL 15A LT 1, TOCANCIPÁ, CUNDINAMARCA",4.96470000000005,-73.91221999999993,3,,,39014
"CL 15A No 11 01, GIRARDOT, CUNDINAMARCA",4.295108783755904,-74.80848840335209,9,,,39015
"CL 15A No 11 57, BUCARAMANGA, SANTANDER",7.135229987342214,-73.13015491303594,9,,,39016
"CL 15A No 12 99, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.6017947470212235,-74.0726873484545,9,,,39017
"CL 15A PEA A 54, GIRÓN, SANTANDER",7.059915001532019,-73.16205999029896,9,,,39018
